claim_id,paper_layer,source_stage,chronology_class,evidence_frozen_before_p7,analysis_created_after_p7,used_to_modify_p7,source_path,manuscript_role,allowed_description,forbidden_description
U4_ORACLE_CAI_SPECIFICITY,Useful,POST_FREEZE_TASK_SPECIFICITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p14_task_specificity/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U4_ORACLE_IMAGE_SPECIFICITY,Useful,POST_FREEZE_TASK_SPECIFICITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p14_task_specificity/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U4_LEARNED_SPECIFICITY_BOUNDARY,Useful,POST_FREEZE_TASK_SPECIFICITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p14_task_specificity/summary.json,adverse_control,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U5_RIDGE_HUBER_SPEARMAN,Useful,POST_FREEZE_VALUE_STABILITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p15_value_stability/summary.json,agreement,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U5_RIDGE_HUBER_BEST_ACTION,Useful,POST_FREEZE_VALUE_STABILITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p15_value_stability/summary.json,agreement,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U5_RIDGE_HUBER_TOPK,Useful,POST_FREEZE_VALUE_STABILITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p15_value_stability/summary.json,agreement,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U5_RIDGE_MLP_SPEARMAN,Useful,POST_FREEZE_VALUE_STABILITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p15_value_stability/summary.json,dependence_boundary,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U5_RIDGE_MLP_BEST_ACTION,Useful,POST_FREEZE_VALUE_STABILITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p15_value_stability/summary.json,dependence_boundary,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
U5_RIDGE_MLP_TOPK,Useful,POST_FREEZE_VALUE_STABILITY,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p15_value_stability/summary.json,dependence_boundary,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O1_STATIC_SPEARMAN,Observable,MVD_M1,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m1_observability/bootstrap.csv,headline,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
O1_STATIC_SET_REGRET,Observable,MVD_M1,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m1_observability/model_metrics.csv,control,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
O1_GLOBAL_SET_REGRET,Observable,MVD_M1,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m1_observability/model_metrics.csv,control,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
O1_RANDOM_SET_REGRET,Observable,MVD_M1,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m1_observability/model_metrics.csv,control,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
O2_TEACHER_TURNOVER,Observable,POST_FREEZE_VALUE_EVOLUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p9_value_evolution/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O2_TEACHER_RANK,Observable,POST_FREEZE_VALUE_EVOLUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p9_value_evolution/summary.json,supporting,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O2_TEACHER_TOPK,Observable,POST_FREEZE_VALUE_EVOLUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p9_value_evolution/summary.json,supporting,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O2_TEACHER_OPPORTUNITY,Observable,POST_FREEZE_VALUE_EVOLUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p9_value_evolution/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O3_REAL_CHANGE,Observable,POST_FREEZE_STATE_CONTROLS,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p10_mris_causal/summary.json,supporting,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O3_FULL_FIELD_RECOVERY,Observable,POST_FREEZE_STATE_CONTROLS,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p10_mris_causal/summary.json,sensitivity,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O3_REAL_MINUS_POSITIONS,Observable,POST_FREEZE_STATE_CONTROLS,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p10_mris_causal/contrasts.csv,central_adverse_control,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O3_REAL_MINUS_RECONSTRUCTION,Observable,POST_FREEZE_STATE_CONTROLS,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p10_mris_causal/contrasts.csv,central_adverse_control,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O4_DYNAMIC_MINUS_STATIC,Observable,POST_FREEZE_DYNAMIC_VALUATION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p11_dynamic_valuation/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
O4_DYNAMIC_MINUS_SHUFFLED,Observable,POST_FREEZE_DYNAMIC_VALUATION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p11_dynamic_valuation/summary.json,central_adverse_control,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A1_VALUATION_SUBSTITUTION,Actionable,POST_FREEZE_COMPONENT_ATTRIBUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p12_rvp_attribution/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A1_LEARNED_PLANNING_SUBSTITUTION,Actionable,POST_FREEZE_COMPONENT_ATTRIBUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p12_rvp_attribution/summary.json,supporting,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A1_TRUE_VALUE_PLANNING_SUBSTITUTION,Actionable,POST_FREEZE_COMPONENT_ATTRIBUTION,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p12_rvp_attribution/summary.json,supporting,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A2_GREEDY_PLANNING_REGRET,Actionable,POST_FREEZE_SET_PLANNING,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p13_set_planning/summary.json,headline,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A2_BEAM4_PLANNING_REGRET,Actionable,POST_FREEZE_SET_PLANNING,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p13_set_planning/summary.json,control,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A3_FEEDBACK_BENEFIT,Actionable,POST_FREEZE_FEEDBACK,POST_P7_DIAGNOSTIC,false,true,false,results/mavis_science_closure/p16_feedback_mechanism/summary.json,central_adverse_control,post-freeze diagnostic using hash-bound frozen states and outcomes; not used to modify the frozen outer endpoint,preregistered confirmatory evidence or input to outer-endpoint selection
A4_BASELINE_MINUS_MAVIS,Actionable,FROZEN_OUTER_EVALUATION,FROZEN_OUTER_ENDPOINT,false,false,false,results/mavis/p7_final_frozen_eval/claim_evidence.csv,headline_boundary,frozen outer policy endpoint evaluated once under the fixed protocol,endpoint selected or modified using post-freeze diagnostics
