claim_id,canonical_layer,chronology_class,new_part,new_stage,narrative_role,main_or_supporting,positive_headline,required_boundary,source_artifact,figure_assignment,table_assignment,manuscript_assignment,narrative_visibility
O3_REAL_CHANGE,Observable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,supporting,supporting,Matched controls identify state signals and component substitutions localize headroom,Real change alone does not identify measured-content value,results/mavis_science_closure/p10_mris_causal/summary.json,figure3b,table2,5.2.2,MAIN_OPTIONAL
O3_FULL_FIELD_RECOVERY,Observable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,sensitivity,supplement,Matched controls identify state signals and component substitutions localize headroom,Recovery denominator is I_field_selected sensitivity,results/mavis_science_closure/p10_mris_causal/summary.json,none,none,none,SUPPLEMENT_REQUIRED
O3_REAL_MINUS_POSITIONS,Observable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,matched_control,supporting,Matched controls identify state signals and component substitutions localize headroom,Call it acquired-position/history control and retain positive effect,results/mavis_science_closure/p10_mris_causal/contrasts.csv,figure3b,table2,5.2.2,MAIN_OPTIONAL
O3_REAL_MINUS_RECONSTRUCTION,Observable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,matched_control,supporting,Matched controls identify state signals and component substitutions localize headroom,Current representation cannot uniquely attribute gain to measured values,results/mavis_science_closure/p10_mris_causal/contrasts.csv,figure3b,table2,5.2.2,MAIN_OPTIONAL
O4_DYNAMIC_MINUS_STATIC,Observable,POST_P7_DIAGNOSTIC,PART_II,II-A_STATE_CONDITIONED_VALUATION,headline,main,State-conditioned valuation improves next-action estimation over the static reference,Does not attribute gain to accumulated real content,results/mavis_science_closure/p11_dynamic_valuation/summary.json,figure3a,table2,5.2.1,MAIN_REQUIRED
O4_DYNAMIC_MINUS_SHUFFLED,Observable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,matched_control,supporting,Matched controls identify state signals and component substitutions localize headroom,Retain positive real-minus-shuffled regret and one-of-six direction,results/mavis_science_closure/p11_dynamic_valuation/summary.json,figure3c,table2,5.2.2,MAIN_OPTIONAL
A1_VALUATION_SUBSTITUTION,Actionable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,headline,main,Matched controls identify state signals and component substitutions localize headroom,Retrospective substitution is non-deployable,results/mavis_science_closure/p12_rvp_attribution/summary.json,figure4a,table2,5.2.2,MAIN_REQUIRED
A1_LEARNED_PLANNING_SUBSTITUTION,Actionable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,supporting,supporting,Matched controls identify state signals and component substitutions localize headroom,Does not establish a representation bottleneck,results/mavis_science_closure/p12_rvp_attribution/summary.json,figure4a,table2,5.2.2,MAIN_OPTIONAL
A1_TRUE_VALUE_PLANNING_SUBSTITUTION,Actionable,POST_P7_DIAGNOSTIC,PART_II,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,supporting,main,Matched controls identify state signals and component substitutions localize headroom,True-value planning is retrospective and non-deployable,results/mavis_science_closure/p12_rvp_attribution/summary.json,figure4a,table2,5.2.2,MAIN_REQUIRED
A2_GREEDY_PLANNING_REGRET,Actionable,POST_P7_DIAGNOSTIC,PART_II,II-C_COST_CONSTRAINED_REALIZATION,headline,main,Cost-constrained set realization converts estimated value into budgeted measurements,Near-oracle is non-deployable and scope is a two-action reachable pool,results/mavis_science_closure/p13_set_planning/summary.json,figure4b,table2,5.2.3,MAIN_REQUIRED
A2_BEAM4_PLANNING_REGRET,Actionable,POST_P7_DIAGNOSTIC,PART_II,II-C_COST_CONSTRAINED_REALIZATION,planning_control,supporting,Cost-constrained set realization converts estimated value into budgeted measurements,Does not establish arbitrary-horizon planning regret,results/mavis_science_closure/p13_set_planning/summary.json,figure4b,table2,5.2.3,MAIN_OPTIONAL
A3_FEEDBACK_BENEFIT,Actionable,POST_P7_DIAGNOSTIC,PART_II,II-C_COST_CONSTRAINED_REALIZATION,stress_control,supplement,Cost-constrained set realization converts estimated value into budgeted measurements,Report no-feedback advantage and retain registered negative sign,results/mavis_science_closure/p16_feedback_mechanism/summary.json,none,none,none,SUPPLEMENT_REQUIRED
A4_BASELINE_MINUS_MAVIS,Actionable,FROZEN_OUTER_ENDPOINT,PART_II,II-C_COST_CONSTRAINED_REALIZATION,final_boundary,system_diagnostic,System-level diagnostic only; not a framework headline,Learned policy is not performance-superior and is favorable in two of six domains,results/mavis/p7_final_frozen_eval/claim_evidence.csv,none,none,5.2.3,MAIN_REQUIRED
